inst/#,actual,predicted,probability
290,1.0,0.000,0.5948018747337026
291,0.0,0.000,0.9244164953440561
292,0.0,0.000,0.8901808785529716
293,0.0,0.000,0.9244164953440561
294,0.0,0.000,0.9923550647695901
295,0.0,0.000,0.9923550647695901
296,0.0,0.000,0.9244164953440561
297,0.0,0.000,0.5948018747337026
298,0.0,0.000,0.9244164953440561
299,0.0,0.000,0.9923550647695901
300,1.0,0.000,0.7284587378640777
301,0.0,0.000,0.9923550647695901
302,0.0,0.000,0.9923550647695901
303,0.0,0.000,0.9244164953440561
304,0.0,0.000,0.8901808785529716
305,1.0,1.000,0.6666666666666666
306,0.0,0.000,0.9923550647695901
307,0.0,0.000,0.7284587378640777
308,0.0,0.000,0.5948018747337026
309,1.0,0.000,0.7284587378640777
310,0.0,0.000,0.9244164953440561
311,0.0,0.000,0.9244164953440561
312,0.0,0.000,0.9244164953440561
313,0.0,0.000,0.9244164953440561
314,0.0,0.000,0.5948018747337026
315,1.0,0.000,0.7284587378640777
316,0.0,0.000,0.9244164953440561
317,0.0,0.000,0.9244164953440561
318,0.0,1.000,0.7142857142857143
319,1.0,0.000,0.5948018747337026
320,0.0,0.000,0.5948018747337026
321,0.0,0.000,0.9244164953440561
322,0.0,0.000,0.9244164953440561
323,0.0,0.000,0.9923550647695901
324,0.0,0.000,0.9244164953440561
325,0.0,0.000,0.9923550647695901
326,0.0,0.000,0.9923550647695901
327,0.0,0.000,0.5948018747337026
328,0.0,0.000,0.9244164953440561
329,0.0,0.000,0.9923550647695901
330,1.0,0.000,0.8901808785529716
331,0.0,0.000,0.7284587378640777
332,0.0,0.000,0.9244164953440561
333,0.0,0.000,0.5948018747337026
334,0.0,0.000,0.9244164953440561
335,0.0,0.000,0.8901808785529716
336,0.0,0.000,0.9244164953440561
337,1.0,0.000,0.7284587378640777
338,0.0,0.000,0.8901808785529716
339,0.0,0.000,0.9244164953440561
340,0.0,0.000,0.9244164953440561
